ID,Text,Comment
LV.BB.BlueprintsGroup,Gebouw Blauwdrukken,
LV.BB.BlueprintCreate,Bouwblauwdruk maken,
LV.BB.BlueprintCreateDesc,Maak een nieuwe gebouwblauwdruk van het geselecteerde gebied,
LV.BB.BlueprintCreateTip,Houd de knop ingedrukt om een ​​gebied te selecteren. Een gebouw moet worden ingesloten binnen het gebied dat in de blauwdruk moet worden opgenomen.,
LV.BB.BlueprintCreateCopySettings,Instellingen van gebouwen kopiëren: {0},
LV.BB.BlueprintCreateArea,Gebied: {0}x{1},
LV.BB.BlueprintCreateBuildings,Gebouwen ({0}):,
LV.BB.BlueprintCreateCosts,Kosten:,
LV.BB.BlueprintBuildTool,Bouw blauwdruk,
LV.BB.BlueprintBuildToolDesc,Gebruik een gebouwblauwdruk om gebouwen in de wereld te plaatsen,
LV.BB.BlueprintBuildToolRotateClockwise,Draai de blauwdruk met de klok mee. Huidig: {0},
LV.BB.BlueprintBuildToolRotateCounterclockwise,Draai de blauwdruk tegen de klok in. Huidig: {0},
LV.BB.BlueprintBuildToolFlip,Blauwdruk spiegelen: {0},
LV.BB.BlueprintBuildToolPartial,Houd ingedrukt om geldige gebouwen te plaatsen en negeer ongeldige gebouwen,
LV.BB.BlueprintBuildToolIgnoreSettings,Negeer de instellingen van gebouwen in de blauwdruk: {0},
LV.BB.BlueprintBuildToolNudge,Verplaats de blauwdruk met cameratoetsen: {0},
LV.BB.DemolishBlueprintTool,Sloop blauwdrukgebouwen,
LV.BB.DemolishBlueprintToolDesc,Sloop snel alle gebouwen die zijn geplaatst met behulp van een gebouwblauwdruk,
LV.BB.DemolishConfirm,Weet je zeker dat je alle {0} gebouwen wilt slopen?,
LV.BB.UnknownBuilding,<RedHighlight>Onbekend gebouw: {0}</RedHighlight>,
LV.BB.DefaultName,Naamloze blauwdruk,
LV.BB.InvalidName,De blauwdruknaam is ongeldig. Het moet een geldige bestandsnaam zijn (vermijd speciale tekens).,
LV.BB.FileDuplicateWarning,"Er bestaat al een blauwdruk met deze naam.
<RedHighlight>Wil je het overschrijven?</RedHighlight>",
LV.BB.Save,Blauwdruk opslaan,
LV.BB.Reload,Blauwdrukken opnieuw laden,
LV.BB.Browse,Blader door blauwdrukken,
LV.BB.SelectTitle,Selecteer Gebouwblauwdruk,
LV.BB.SelectDesc,Selecteer een blauwdruk van een gebouw om in de wereld te plaatsen.,
LV.BB.Build,Bouwen,
LV.BB.NoBlueprints,"Er zijn geen bouwtekeningen beschikbaar.
Maak er een met behulp van de tool Gebouwblauwdruk maken.",
LV.BB.MissingBuildings,Ontbrekende gebouwen: {0},
LV.BB.LockedBuildings,Gebouwen niet ontgrendeld: {0},
LV.BB.UnlockBuildings,Ontgrendel de vereiste gebouwen,
LV.BB.NotEnoughScience,Niet genoeg wetenschap om de vereiste gebouwen te ontgrendelen,
LV.BB.UnlockConfirm,Het ontgrendelen van de vereiste gebouwen kost {0} wetenschap. Wil je doorgaan?,
LV.BB.UploadWorkshop,Uploaden naar werkplaats,
LV.BB.BrowseWorkshop,Blader door Werkplaats,
LV.BB.ExistingId,Bestaande ID:,
LV.BB.ExistingIdDesc,"Als je een bestaande werkplaatsinvoer wilt bijwerken, voer je hier de ID ervan in. Laat anders de standaardinstelling staan ​​(leeg of nul).",
LV.BB.Update1020,"<YellowHighlight><b>Building Flipping, Instellingen en Workshop ondersteund</b></YellowHighlight> zijn toegevoegd op veler verzoek!
Er zijn ook andere kleine verbeteringen. Kijk op de mod-pagina voor meer informatie over deze grote update.",
LV.BB.NudgeKey,Duw blauwdruk,
LV.BB.NudgeMove,Blauwdruk verplaatsen:,
LV.BB.NudgeVerticalMove,Blauwdruk verticaal verplaatsen:,
LV.BB.Rename,Hernoemen,
LV.BB.Delete,Verwijderen,
LV.BB.DeleteConfirm,Weet je zeker dat je deze blauwdruk wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.,
LV.BB.Untagged,Niet getagd,
LV.BB.Manage,Beheer blauwdrukken,
LV.BB.Filter,Filter,
LV.BB.Keyword,Trefwoord:,
LV.BB.HideInvalids,Ongeldige blauwdrukken verbergen,
LV.BB.FilterLocal,Lokaal tonen,
LV.BB.FilterRemote,Workshop tonen,
LV.BB.FilterTagDesc,Toon alleen blauwdrukken met AL deze tags:,
LV.BB.FilterStat,Gefilterd: {0} / {1},
LV.BB.NoTag,Er is nog geen blauwdruk met een tag.,
LV.BB.Edit,Bewerking,
LV.BB.EditBlueprint,Blauwdruk bewerken,
LV.BB.Rename,Naam wijzigen:,
LV.BB.RenameExist,<RedHightlight>Er bestaat al een andere blauwdruk met deze naam. Kies een andere naam.</RedHightlight>,
LV.BB.Tags,Tags (door komma's gescheiden):,
LV.BB.TagQuickAdd,Snel toevoegen:,
LV.BB.Delete,Blauwdruk verwijderen,
LV.BB.DeleteConfirm,Weet je zeker dat je deze blauwdruk wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.,
